Promoter Name,Address,Builder Pin Code,Email,Phone Number,Name,Location,Project Pin Code,Registration No.,Valid Until,Construction Status,Certificate
RSDR BUILDERS PRIVATE LIMITED,"65/2, Masjid Road, Bhogal, New Delhi, south Delhi, Delhi, India, 110014,South West,delhi,SOUTH DELHI,110014",110014,shashank@bdrbuildtech.com,09810528638,32 link road,"32 LINK ROAD , SOUTH , Delhi, SOUTH DELHI , 110024",110024,DLRERA2023P0003,,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2023P0003.pdf
FOOTWEAR (KLICK) INDIA PVT. LTD.,"D-3, Udyog Nagar, New Delhi - 110041,New Delhi,delhi,Delhi,110041",110041,ajay@lancerfootwear.in,9211888223,"Plot No. 2, Road No. 63, Punjabi Bagh","Plot No. 2, Road No. 63, Punjabi Bagh West, New Delhi , Delhi, Delhi, Delhi , 110026",110026,DLRERA2022P0046,,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2022P0046.pdf
THE HOME LIVING COOPERTAIVE GROUP HOUSING SOCIETY LIMITED,"Plot No. 14, Sector-9, Dwarka, New Delhi,Delhi,delhi,Dwarka,110077",110077,tothehomeliving@gmail.com,9990668913,The Home Living CGHS Limited,"Plot No. 14, Sector - 9, Dwarka, New Delhi - 110 077 , Dwarka, Delhi, Dwarka , 110077",110077,DLRERA2022P0040,,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2022P0040.pdf
BDR BUILDERS AND DEVELOPERS PRIVATE LIMITED,"C-43, LGF, JANGPURA EXTENSION,NEW DELHI,delhi,SOUTH EAST,110014",110014,shreyanshguptabdr@gmail.com,09910754359,"F-11, HAUZ KHAS ENCLAVE, NEW DELHI","F-11, HAUZ KHAS ENCLAVE, NEW DELHI , NEW DELHI, Delhi, SOUTH DISTRICT , 110016",110016,DLRERA2022P0039,31/12/2022,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2022P0039.pdf
,",,,,",None,,,C/o 821 Multi-storeyed Houses (600 Two bedrooms & 221 EWS) in pocket-E at Lok Nayak Puram (Bakkarwala).,"Pocket-E, Lok Nayak Puram Bakkarwala , Punjabi Bagh, Delhi, West Delhi , 110041",110041,DLRERA2022P0038,30/08/2023,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2022P0038.pdf
RAVI SHANKAR CO-OPERATIVE GROUP HOUSING LTD.,"plot no 2, sector 13, Dwarka,Delhi,delhi,New Delhi,110078",110078,cghsravishankar@gmail.com,9810126120,RAVI SHANKAR CO-OPERATIVE GROUP HOUSING SOCIETY,"Plot No.2, Dwarka Sector-13, New Delhi-110078 , Dwarka, Delhi, South-West , 110078",110078,DLRERA2022P0016,24/01/2023,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2022P0016.pdf
DELHI MUNICIPAL PRESS CO-OPERATIVE GROUP HOUSING SOCIETY LTD,"DELHI MUNICIPAL PRESS C.G.H.S LTD. PLOT NO.29A, SECTOR-10, DWARKA, NEW DELHI-110075,DWARKA,delhi,SOUTH-WEST,110075",110075,dmpcghsdwarka@gmail.com,9811069821,DELHI MUNICIPAL PRESS COOPERATIVE GROUP HOUSING SOCIETY LTD.,"Plot No.29A, Sector-10, Dwarka, New Delhi-110075 , Dwarka, Delhi, South West , 110075",110075,DLRERA2021P0005,,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2021P0005.pdf
THE HAMDAM C.G.H.S. LTD.,"PLOT NO 7, SECTOR 18A, DWARKA, NEW DELHI,DWARKA,delhi,SOUTH WEST,110075",110075,sackum2010@gmail.com,9818457132,The Hamdam CGHS LTD,"Hamdam CGHS LTD, Plot no 7, Sector 18a, Dwarka, New Delhi-110075 , DWARKA, Delhi, SOUTH WEST , 110075",110075,DLRERA2020P0004,,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2020P0004.pdf
INDIAN STATISTICAL INSTITUTE CO-OP GROUP HOUSING SOCIETY LTD.,"Plot No. 07, Co-op. Group Housing Societies Complex, Dhirpur Phase-1, Delhi – 110009 ,Delhi,delhi,Delhi,110009",110009,isicghsltd@yahoo.com,9582117737,Indian Statistical Co-op. Group Housing Society Ltd.,"Plot No.07, Co-op Group Housing Complex, Dhirpur, Phase I, Delhi - 10009 (Near Nirankari Complex) , Delhi, Delhi, Delhi , 110009",110009,DLRERA2020P0003,,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2020P0003_0.pdf
ANTARCTICA PROPERTIES COMPANY LIMITED.,"PLOT NO. 4B, MAYUR VIHAR DISTRICT CENTER PHASE-I EXTENSION,delhi,delhi,Delhi,110091",110091,propertiesantarctica@gmail.com,9999359873,The Address,"Plot No. 4B, Mayur vihar, District Centre, Phase -1 Extension , Delhi, Delhi, Delhi , 110091",110091,DLRERA2018P0015,30/04/2020,Completed,https://www.rera.delhi.gov.in/sites/default/files/DLRERA2018P0015_0.pdf
PARSVNATH DEVELOPERS LIMITED,"Parsvnath Tower, Near Shahdara Metro Station Shahdara ,Shahdara,delhi,Shahdara,110032",110032,rera@parsvnath.com,9205809569,The Parsvnath 27,"27 K. G. Marg New Delhi , New Delhi, Delhi, Delhi , 110001",110001,DLRERA2018P0012,31/10/2019,Completed,https://www.rera.delhi.gov.in/sites/default/files/certification_document/DLRERA2018P0012.pdf
PUREARTH INFRASTRUCTURE LTD.,"6TH FLOOR, VIKRANT TOWER, 4 RAJENDRA PLACE,CENTRAL,delhi,CENTRAL,110008",110008,admin@purearth.in,9810501816,THE AMARYLLIS PHASE-1,"KAROL BAGH , NEW DELHI, Delhi, CENTRAL , 110005",110005,DLRERA2018P0004,31/01/2020,Completed,https://www.rera.delhi.gov.in/sites/default/files/DLRERA2018P0004_0.pdf
