Promoter Name,Address,Builder Pin Code,Email,Phone Number,Name,Location,Project Pin Code,Registration No.,Valid Until,Construction Status,Certificate,Extension Certificate
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",None,sales.nauroji@nbccindia.com,8450971027,"Down Town, Sarojini Nagar, New Delhi","Sarojini Nagar, Ring Road,Tehsil ChanakyaPuri, District :South West Delhi, New Delhi- 110023 , South West Delhi, Delhi, South West Delhi , 110003",110003,DLRERE2022P0011,08/07/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERE2022P0011,Not Applicable
PARIVAR PROPERTIES PVT. LTD.,"12, RING ROAD, LAJPAT NAGAR-IV, NEW DELHI - 110024,LAJPAT NAGAR-IV,delhi,NEW DELHI,110024",110024,arunverma@globalrealty.co.in,8373912274,Jubilee Bazar,"Dr. HC Sen Road, Near Kauria Pul, North Delhi , Chandni Chowk, Delhi, North Delhi , 110006",110006,DLRERE2022P0010,31/01/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERE2022P0010,Not Applicable
ORCHID INDIA INFRAMART LLP,"KOTHI NO 3, ON FIRST FLOOR , SECTOR 11,DWARKA, NEW DELHI ,NEW DELHI,delhi,SOUTH WEST DELHI,110075",110075,consulateapartments2022@gmail.com,9971193447,THE CONSULATE APARTMENTS,"Plot / Khasra No. 112/2, 05-09, Situated Extended Lal Dora, Village Dhoolsiras, Tehsil Dwarka, New Delhi , NEW DELHI, Delhi, DWARKA , 110075",110075,DLRERA2023P0005,20/10/2027,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2023P0005,Not Applicable
BDR BUILDTECH PRIVATE LIMITED,"21, RING ROAD THIRD FLOOR FRONT PORTION LAJPAT NAGAR IV SOUTH DELHI-110024 DELHI,South East,delhi,SOUTH DELHI,110024",110024,rajesh393@gmail.com,9810031551,W 34,"W 34, GREATER KAILASH II, NEW DELHI 110048 , SOUTH, Delhi, SOUTH DELHI , 110048",110048,DLRERA2023P0004,28/02/2023,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2023P0004,Not Applicable
RSDR BUILDERS PRIVATE LIMITED,"65/2, Masjid Road, Bhogal, New Delhi, south Delhi, Delhi, India, 110014,South West,delhi,SOUTH DELHI,110014",110014,shashank@bdrbuildtech.com,09810528638,32 link road,"32 LINK ROAD , SOUTH , Delhi, SOUTH DELHI , 110024",110024,DLRERA2023P0003,,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2023P0003,Not Applicable
BDR BUILDERS AND DEVELOPERS PRIVATE LIMITED,"C-43, LGF, JANGPURA EXTENSION,NEW DELHI,delhi,SOUTH EAST,110014",110014,shreyanshguptabdr@gmail.com,09910754359,"G-49, EAST OF KAILSH, NEW DELHI-110065","G-49, EAST OF KAILSH, NEW DELHI-110065 , SOUTH DELHI, Delhi, SOUTH , 110065",110065,DLRERA2023P0002,31/03/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2023P0002,Not Applicable
RAHEJA DEVELOPERS LIMITED,"W4D, 204/5, Keshav Kunj, Cariappa Marg, Western Avenue, Sainik Farms,New Delhi,delhi,Delhi,110062",110062,shreya.goel@raheja.com,9971091904,PMAY-KATHPUTLI COLONY,"KATHPUTLI COLONY,MAIN PATEL NAGAR NEW DELHI , New Delhi, Delhi, New Delhi , 110008",110008,DLRERA2023P0001,31/03/2024,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2023P0001,Not Applicable
NBCC (INDIA) LIMITED,"NBCC Bhawan, Lodhi Road New Delhi,New Delhi,,,",None,nbccavn@gmail.com,8527559481,Grande Rue,"Ayur Vigyan Nagar, New Delhi , North East Delhi, AIIMS at Ayur Vigyan Nagar, New Delhi., Delhi, North East Delhi , 110049",110049,DLRERA2022P0047,31/12/2024,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0047,Not Applicable
FOOTWEAR (KLICK) INDIA PVT. LTD.,"D-3, Udyog Nagar, New Delhi - 110041,New Delhi,delhi,Delhi,110041",110041,ajay@lancerfootwear.in,9211888223,"Plot No. 2, Road No. 63, Punjabi Bagh","Plot No. 2, Road No. 63, Punjabi Bagh West, New Delhi , Delhi, Delhi, Delhi , 110026",110026,DLRERA2022P0046,,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0046,Not Applicable
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",None,sales.nauroji@nbccindia.com,8450971027,Redevelopment of GPRA Colony Netaji Nagar New Delhi,"Netaji Nagar, Africa Avenue Marg, District: South West Delhi, New Delhi-110023 , South West Delhi, Delhi, South West Delhi , 110023",110023,DLRERA2022P0045,31/03/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0045,Not Applicable
